,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
9703,1,Likely an Outlier,-0.014726261484933167,-1,Maybe Outlier,1.1809798553793227,1,Maybe Outlier,9.974784957343822,1,Likely an Outlier,-1, no Outlier
9702,1,Likely an Outlier,0.03607079363401722,1,Maybe Outlier,1.0673178565498316,1,Maybe Outlier,9.974821865123673,1,Likely an Outlier,1, an Outlier
9701,1,Likely an Outlier,0.09578163007073848,1,Maybe Outlier,1.1652253865820508,1,Maybe Outlier,9.974867249699471,1,Likely an Outlier,1, an Outlier
9700,1,Likely an Outlier,0.09503490235964385,1,Maybe Outlier,1.1775082433842505,1,Maybe Outlier,9.974900509555496,1,Likely an Outlier,1, an Outlier
9699,1,Likely an Outlier,0.08621560349741042,1,Maybe Outlier,1.0673178565498314,1,Maybe Outlier,9.974927391956804,1,Likely an Outlier,1, an Outlier
9698,1,Likely an Outlier,0.10628025542054914,1,Likely an Outlier,1.165291101525799,1,Maybe Outlier,9.974970913512124,1,Likely an Outlier,1, an Outlier
9697,1,Likely an Outlier,0.07782362841590806,1,Maybe Outlier,1.1486565546249055,1,Maybe Outlier,9.974999396850311,1,Likely an Outlier,1, an Outlier
9696,1,Likely an Outlier,0.1376893914952928,1,Likely an Outlier,1.0205179350644333,1,Maybe Outlier,9.97504008112003,1,Likely an Outlier,1, an Outlier
9695,1,Likely an Outlier,0.12448845249615359,1,Likely an Outlier,1.0288869935399227,1,Maybe Outlier,9.975073793254445,1,Likely an Outlier,1, an Outlier
9694,1,Likely an Outlier,0.13217803105403858,1,Likely an Outlier,0.9934861395633192,1,Likely no Outlier,9.975108025665172,1,Likely an Outlier,1, an Outlier
9693,1,Likely an Outlier,0.1332355498138455,1,Likely an Outlier,0.9985482271615098,1,Likely no Outlier,9.975141812652929,1,Likely an Outlier,1, an Outlier
9692,1,Likely an Outlier,0.13348381840348933,1,Likely an Outlier,0.9507594381739992,1,Likely no Outlier,9.975175196702638,1,Likely an Outlier,1, an Outlier
9691,1,Likely an Outlier,0.13147982370759204,1,Likely an Outlier,0.9696264996934886,1,Likely no Outlier,9.975208701368196,1,Likely an Outlier,1, an Outlier
